Track,Artist,Release Date,ISRC,All Time Rank,Spotify,YouTube,TikTok,Pandora,Soundcloud,Shazam
Frï¿½ï¿½gil (feat. Grupo Front,Yahritza Y Su Esencia,4/7/2023,USQX92302369,765,"432,988,420","194,658,217","750,998,497","33,073,012",,"1,407,776"
In My Feelings,Drake,6/29/2018,USCM51800206,766,"1,389,607,643","749,282,095","521,014,819","344,214,850",,"7,188,287"
You Broke My Heart,Drake,10/6/2023,USUG12309646,764,"123,522,254","21,213,402","3,432,405","11,677,247","5,254,476","814,161"
Attention,Charlie Puth,4/20/2017,USAT21700928,768,"1,800,254,516","1,875,529,996","759,021,013","352,441,778",,
Zhurek,Adam,10/6/2023,DGA0M2333309,770,"8,893,883","238,585,397","1,640,900",,,"3,415,610"
Let Me Down Slowly,Alec Benjamin,5/25/2018,USAT21802284,769,"1,709,991,997","1,447,964,376","2,833,687,729",,,
In The End,Tommee Profitt,4/6/2018,TCADO1871408,771,"85,068,645","1,615,682,416","6,274,917,849","850,756",,"8,985,174"
Took Her To The O,King Von,2/21/2020,USUYG1296663,772,"497,832,707","265,905,159","644,816,718","33,625,448","86,394,034","1,146,823"
Boyfriend,Dove Cameron,2/11/2022,USQX92200693,774,"637,836,235","182,917,309","1,955,825,500","54,288,683",,"2,178,227"
Orquestra Maldita,TRASHXRL,6/15/2023,SGW502301764,773,"119,445,482","52,878,314","3,177,714,575",,,
Sucker,Jonas Brothers,3/1/2019,USUG11900515,775,"1,411,856,834","641,158,161","280,853,608","281,820,508",,"6,948,452"
Alone,Marshmello,5/13/2016,CA6D21600147,776,"561,103,984","3,130,843,590","462,245,126","43,619,580",,"3,223,632"
Moto,Diler Kharkiya,1/6/2020,INR731900731,778,,"706,716,815","1,357,260,180",,,
Pareja Del Aï¿½,Sebastian Yatra,4/16/2021,USUM72104664,779,"817,933,263","658,407,296","870,762,842","41,931,285",,"2,894,166"
PAINTING PICTURES,Superstar Pride,10/20/2022,QZNMX2257577,777,"193,109,326","64,413,388","1,526,856,459","7,692,981","23,495,613","2,304,354"
GOOBA,6ix9ine,5/8/2020,QZA742002191,780,"472,027,271","1,012,949,756","4,846,286,370","11,693,239",,"2,224,515"
vampire,Olivia Rodrigo,6/30/2023,USUG12305004,781,"997,536,616",,,,,
THE DINER,Billie Eilish,5/17/2024,USUM72401989,790,"66,101,468","4,252,419","11,200,000","184,455","685,021","52,008"
6 In the Morning (feat. Nate Dogg),Flex (UK),5/17/2024,GBARL2400669,785,"4,505,404",,,,"3,150,291","24,801"
Light Switch,Charlie Puth,1/19/2022,USAT22107359,782,"593,554,969","284,499,511","4,729,678,365","55,256,200","2,916,780","2,231,820"
"Pushpa Pushpa (From ""Pushpa 2 The Rule"") [HINDI]",Mika Singh,5/1/2024,INS182401375,783,"1,852,457","57,254,911",,,,"4,169"
On Me,Lil Baby,12/4/2020,USUG12004399,788,"368,017,246","227,182,263","198,936,453","141,610,948","53,891,709","1,728,476"
when the party's over,Billie Eilish,10/17/2018,USUM71815958,787,"1,845,938,685","931,398,498","1,349,258,289","139,323,553",,"5,811,377"
Love The Way You Lie,Eminem,1/1/2010,USUM71015397,784,"1,532,052,160","3,009,144,927","223,136,013","800,108,842","1,991,336","10,011,625"
Party,Bad Bunny,5/6/2022,QM6MZ2214885,789,"725,076,772","296,661,885","3,014,389,754","64,496,554",,"1,467,014"
Make You Mine,Madison Beer,2/9/2024,USSM12400758,786,"127,909,006","26,653,465","295,301,300","4,474,757",,"1,031,888"
Freaks,Surf Curse,5/15/2021,USAT22102269,791,"1,089,328,286","256,738,121","2,110,692","15,296,063",,"4,341,439"
In Da Getto,J Balvin,7/2/2021,QZM5U2100095,792,"484,375,103","218,975,838","6,219,918,723","43,024,314",,"7,336,982"
Chale,Eden Muï¿½ï¿½,2/18/2022,MXB952200017,794,"414,104,069","665,626,745","2,953,043,191","40,508,092","2,525,726",
Try That In A Small Town,Jason Aldean,5/19/2023,QMRSZ2300454,793,"66,418,201","59,550,101",,"106,455,054","1,370,492","264,899"
Tarot,Bad Bunny,5/6/2022,QM6MZ2214881,796,"742,515,730","275,203,830","2,486,183,983","36,599,355",,"959,597"
Mas Existe um Lugar,Kaio Viana,3/23/2023,SGB502340678,795,"24,963,236","96,957,064","670,846,125",,,"228,158"
TEXAS HOLD 'EM,Beyoncï¿½,2/9/2024,USSM12401303,798,"425,058,273","46,791,219",,"13,815,433",,
Petit gï¿½ï¿½,Jungeli,8/4/2023,QMBZ92393247,797,"159,181,956","159,092,284","37,717,213",,,"3,454,084"
Bura Na Mano Holi Hai,Shaan,2/4/2023,ING642301070,801,"125,047","659,724,253",,,,262
ï¿½ï¿½ï¿½,Ado,9/6/2023,JPPO02302806,800,"114,381,380","230,252,306","613,717,046",,,"270,400"
Breaking the Habit,Linkin Park,4/12/2024,USWB12401898,802,"428,629,823",,,,,"1,649,113"
Work,Rihanna,1/28/2016,QM5FT1600116,799,"1,399,521,364","1,662,063,771","36,448,419","603,707,599",,"8,814,930"
Normal,Feid,7/8/2022,USUM72211935,804,"724,772,954","395,704,504","237,386,912","9,638,456",,"956,990"
LALALALA,Stray Kids,11/10/2023,US5TA2300151,803,"154,592,041","161,998,287","430,312,931","1,737,006","952,946","279,165"
Sum 2 Prove,Lil Baby,1/10/2020,USUG11902886,807,"444,934,033","411,628,542","238,372,502","124,269,386","68,048,035","1,925,871"
Lottery (Renegade),K CAMP,4/1/2019,USUYG1247701,808,"173,526,912","102,774,513","6,653,535,769","41,431,663",,"1,592,457"
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,8/11/2017,USWB11701181,805,"1,382,191,196","1,318,325,154","260,253,261","611,963,837",,
Good Days,SZA,12/25/2020,USRC12004189,806,"1,105,805,922","295,872,840","920,329,965","71,061,814","8,937,770","2,548,829"
Leave Before You Love Me (with Jonas Brothers),Marshmello,4/28/2021,USUG12102313,810,"844,630,935","269,892,715","182,430,905","139,703,215",,"7,138,195"
Youngblood,5 Seconds of Summer,4/12/2018,GBUM71800366,811,"1,790,579,305","792,369,989","81,167,209","394,705,510",,"10,854,729"
Sweater Weather,The Neighbourhood,1/1/2012,USSM11300080,809,"2,916,412,507","1,648,485,745","2,911,383,718","384,534,750","2,565,635",
Merayu Tuhan,Tri Suaka,8/15/2023,QZYFZ2347514,813,"8,517,888","71,408,616","540,360,680",,,"20,886"
If We Being Rï¿½ï¿½,Yeat,2/16/2024,USUM72401643,812,"92,517,121","4,695,846",,"167,577","5,704,007","1,371,705"
Can We Kiss Forever?,Kina,8/31/2018,USSM11914456,815,"634,493,511","325,005,278","6,459,413,096","34,039,218",,"8,659,169"
Felices los 4,Maluma,4/21/2017,USSD11700134,814,"932,817,713","2,349,558,424","177,718,441","251,569,141",,"5,644,479"
Mariposita,La Vaca Lola,3/4/2021,QZDA62161038,820,,"1,562,650,492",747,,,
Relaciï¿½,Sech,4/2/2020,QM9WM2000013,821,"468,900,803","1,137,550,621","1,052,766,873","117,125,054",,"1,507,000"
ELOVRGA,Alex Favela,8/18/2023,QZNFJ2303104,819,"333,899,135","180,084,509","704,890,346","1,736,093","168,994","967,858"
Party Girl,StaySolidRocky,4/21/2020,USSM12002247,816,"730,440,576","199,161,217","3,194,124,847","8,510,801",,"1,963,555"
I Feel It Coming,The Weeknd,11/17/2016,USUG11601012,817,"1,749,088,490","1,489,647,996","36,437","230,834,970","7,851,939","17,963,628"
Get In With Me,Bossman Dlow,1/19/2024,USQX92400087,818,"39,401,314","45,484,183","46,178,900","10,802,316",,"607,813"
Agua (with J Balvin),Tainy,7/9/2020,USUM72013642,822,"391,856,304","1,040,938,222","1,423,789,944","9,507,064","510,422","1,570,803"
Human,Rag'n'Bone Man,7/21/2016,GBARL1600665,824,"1,013,083,048","1,900,272,147","1,070,508,080","163,719,567",,"19,092,054"
We Still Don't Trust You,Future,4/12/2024,USSM12403111,823,"64,193,671","10,688,644",,"695,510","992,266","349,821"
snowfall,ï¿½ï¿½neheart,1/14/2022,QM3DF2191341,828,"652,949,750","46,232,838","10,888,392,002","764,755",,"1,852,974"
First Love,Oscar Maydon,12/7/2023,QZJJE2390614,825,"230,291,754","113,183,874",,"15,400,444",,"1,277,194"
La_Original.mp3,Emilia,11/2/2023,USSD12300584,829,"184,441,175","109,532,952","529,217,516","39,845",,"400,818"
OA,Anuel AA,10/13/2023,QZ7B82300076,827,"178,950,943","113,884,335",,"1,197,289","1,211,226","595,427"
Pagodï¿½ï¿½o do Birimbola (Tchubirabi,Os Quebradeiras,11/11/2022,BCO3K2200121,830,"54,513,960","183,119","6,429,494,637",,,"448,872"
Ice Cream (with Selena Gomez),BLACKPINK,8/28/2020,KRA402000131,826,"574,505,748","1,037,344,011","1,928,057,718","17,035,475",,"1,430,212"
Deja Vu,TOMORROW X TOGETHER,4/1/2024,USA2P2408081,832,"75,894,056","70,842,688","59,546,295","348,004",,"113,020"
one of wun,Gunna,5/10/2024,USAT22403437,831,"58,469,975","4,436,805",,,,
Thank You (Not So Bad),Dimitri Vegas & Like Mike,12/1/2023,GBARL2301712,838,"200,151,839","11,597,448",,"1,710,983",,"1,371,435"
Watch This - ARIZONATEARS Pluggnb Remix,Lil Uzi Vert,2/5/2023,USAT22301358,837,"377,174,503",,,"196,473","12,340,277",
MIDDLE CHILD,J. Cole,1/24/2019,QMJMT1902056,836,"1,285,518,117","606,135,388","72,297,780","377,326,561",,"3,638,588"
TO THE MOON,JNR CHOI,11/5/2021,QZNWW2131527,834,"274,647,899","64,640,927","7,062,611,890","139,439,113","3,308,660","3,786,029"
Fancy Like,Walker Hayes,6/4/2021,USQX92101534,835,"328,697,441","174,775,864","2,074,178,281","242,860,151",,"2,520,013"
The Color Violet,Tory Lanez,12/10/2021,QZTGW2100275,833,"806,918,358","105,278,538","251,896,836","893,116","16,338,259","2,322,363"
S91,KAROL G,7/14/2023,USUG12305255,840,"240,161,044","164,645,464","257,922,639","19,801,440",,"614,971"
LALISA,LISA,9/10/2021,KRA402100098,839,"502,655,066","900,358,198","1,612,602,199","2,844,171",,"1,084,041"
Levitating,Dua Lipa,3/27/2020,GBAHT1901299,841,"946,842,175","39,855,160","4,779,580,212","85,497,325",,"3,946,971"
RUBICON,Peso Pluma,6/22/2023,QM7282306229,844,"246,224,964","147,798,315","278,318,607","22,544,059","3,883,201","585,523"
Gimme Love,Sia,9/13/2023,USAT22307798,843,"105,947,434","27,707,323","12,855,128","1,319,886",,"1,684,376"
Diz Aï¿½ï¿½ Qual ï¿½ï¿½ ,Mc IG,3/7/2024,BRWMB2400220,842,"71,944,011","89,527,069",,,,
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Mitraz,1/19/2024,INS182400204,848,"114,992,281","144,797,885",,,,"286,797"
Arjan Vailly,Manan Bhardwaj,11/18/2023,INS182303269,849,"123,276,250","208,302,578",,,,"146,801"
Demons,Imagine Dragons,1/1/2012,USUM71201071,847,"2,270,796,677","1,738,647,396","296,361,891","1,087,793,804","26,345,651","18,161,724"
Supalonely,BENEE,11/15/2019,USUM71922597,845,"738,407,486","363,250,356","3,587,729,796","61,533,676",,"6,834,164"
Lean On (feat. Mï¿½ï¿½ & DJ Sn,Major Lazer,11/20/2011,QMUY41500008,846,"2,080,878,370","308,933,095","289,518,843","649,970,533","231,244,214","26,993,119"
Spin Bout U,Drake,11/4/2022,USUG12208603,856,"356,685,934","56,086,730","229,937,284","48,943,722","13,209,166","1,574,072"
From The Start,Laufey,5/11/2023,QM6N22309399,855,"368,256,958","69,276,606","772,554,264","855,743","5,861,183","1,011,059"
ZOOM,Jessi,4/13/2022,KRA382204517,850,"166,161,044","303,569,838","9,393,168,416",,,"778,299"
Can't Feel My Face,The Weeknd,3/2/2015,USUG11500741,851,"1,747,534,539","1,689,190,795","264,572,676","552,312,888","4,197,860","14,056,461"
Quï¿½ï¿½ Onda Per,Grupo Firme,3/30/2023,QZDQH2362804,852,"213,405,904","401,470,868",,"7,260,620",,"655,854"
Sexy And I Know It,LMFAO,1/1/2011,USUM71108090,853,"436,722,440","1,193,724,016","927,660,445","840,489,680","2,154,867","6,761,782"
WHATS POPPIN,Jack Harlow,1/21/2020,USAT22000162,854,"819,779,577","709,454,117","2,078,817,404","131,616,894",,"3,222,518"
POR EL CONTRARIO,Becky G,9/28/2023,USRC12302408,857,"131,938,548","118,669,957","589,093,596","13,424,036",,"684,079"
Danza Kuduro - Cover,DJ MIX NON-STOP CHANNEL,12/21/2023,TCJPY2352543,859,"1,648,192,461",,,,,
Rara Vez,Taiu,2/8/2023,ARUM72300004,860,"544,165,928","200,445,038","1,522,432,243","26,771",,"943,365"
That That (prod. & feat. SUGA of BTS),PSY,4/29/2022,QZEKE2084402,858,"269,491,606","746,615,342","2,432,918,911","2,505,495",,"797,357"
Espresso,Sabrina Carpenter,4/11/2024,USUM72404979,861,"536,986,458",,,,"22,436",
Who's Afraid of Little Old Me?,Taylor Swift,4/18/2024,USUG12401037,862,"166,168,092","16,423,009","7,202,700","2,890,486",,"116,673"
THE LONELIEST,Mï¿½ï¿½ne,10/7/2022,ITB002200745,865,"330,593,989","175,561,257","270,169,817","6,555,059",,"4,266,103"
Yeah Glo!,GloRilla,2/8/2024,USUM72400409,864,"89,513,100","38,613,955","52,800","20,163,317","3,187,345","446,156"
Nunca Es Suficiente,Los ï¿½ï¿½ngeles Az,4/20/2018,MX1721600892,863,"478,494,818","2,148,970,473","145,723,405","239,441,848",,"3,116,053"
MANIKIN (feat. Wifisfuneral),XXXTENTACION,9/8/2023,USQX92304814,868,"4,306,793",,,,"34,328,895","38,034"
Copines,Aya Nakamura,8/24/2018,FRZ041800793,867,"381,322,519","793,025,740","8,503,116,899","549,774",,"5,305,717"
Thank God,Kane Brown,9/9/2022,USRN12200041,866,"157,341,967","98,239,826","123,462,516","137,496,334",,"1,100,920"
TQM,Fuerza Regida,5/19/2023,QZ9QQ2300371,869,"497,682,165","143,949,357","824,220,151","34,606,889",,"616,368"
Lily,Alan Walker,12/14/2018,NOG841813040,870,"403,860,053","1,057,546,150","1,297,576,376","26,619,723",,"1,793,716"
Massive,Drake,6/17/2022,USUG12204890,873,"253,114,498","42,397,563","887,138,394","15,938,883","4,254,609","2,091,080"
a lot,21 Savage,12/21/2018,QZ45A1700126,872,"949,835,159","905,118,647","131,214,658","123,783,971",,"3,759,769"
Adicto (with Anuel AA & Ozuna),Tainy,8/22/2019,USUM71912751,871,"711,861,577","1,359,220,447","185,706,534","111,865,989","5,576,102","1,522,049"
Tek Baï¿½ï¿½,Semicenk,5/3/2024,FRX452438249,875,"21,803,486","39,172,911",,,"16,282","90,134"
BAND4BAND,Central Cee,6/6/2024,USSM22401074,874,"86,144,467",,,,,
Look What You Made Me Do,Taylor Swift,8/24/2017,USCJY1750000,876,"1,152,346,128","1,922,214,505","563,244,716","149,366,824",,"5,102,278"
WOKE UP,XG,5/21/2024,JPB602401462,877,"16,684,393","19,177,238",,"30,995",,"63,167"
Toki,Casper Magico,5/2/2024,QM4TX2443609,878,"13,741,023","39,658,915",,"135,590",,"80,807"
Young Dumb & Broke,Khalid,1/1/2017,USRC11700144,881,"1,527,159,800","1,270,330,281","216,666,194","410,189,803","9,133,063","6,513,209"
El Beneficio De La Duda,Grupo Firme,5/28/2024,USA2P2433586,880,"15,557,247","16,286,691",,"489,897","19,233","91,868"
ALV,Arcï¿½ï¿½,11/17/2023,QMFMF2330232,882,"118,490,212","158,132,299",,"3,877,792",,"514,683"
In A Minute,Lil Baby,4/7/2022,USUG12200033,879,"171,118,535","238,335,324","191,118,526","47,511,512",,"1,695,618"
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,3/20/2020,USUG12101839,884,"1,549,317,525","385,884,628","426,511,103","87,260,353","5,621,588","3,251,107"
No Se Vale,Camilo,2/7/2024,USSD12400019,883,"19,388,370","19,658,783","441,343,495","196,350",,"42,410"
Jerusalema (feat. Nomcebo Zikode),Master KG,11/29/2019,ZA82Y1900130,885,"406,132,477","925,222,640","849,243,924","7,150,193",,"15,915,419"
DENTRO DA HILUX,Luan Pereira,8/24/2023,BCX5C2300025,888,"178,699,480","261,753,577","2,800,000",757,"483,325","121,733"
Funk do Patinho,Bento e Totï¿½,1/22/2022,BX7CP2200001,887,"16,197,748","967,275,295","40,465,134",,,"16,249"
El Amor de Mi Vida,Los ï¿½ï¿½ngeles Az,8/17/2023,MX1722301696,886,"130,709,283","248,099,324","3,169,042","2,831,460",,"555,880"
Blueberry Faygo,Lil Mosey,11/8/2019,USUM72001714,889,"1,295,251,940","380,793,694","1,065,757,953","97,563,481",,"2,786,545"
Jiggle Jiggle,Duke & Jones,5/13/2022,GBARL2201151,891,"121,214,716","12,801,028","14,693,507,776","2,538,534",,"1,772,963"
En la Intimidad,Big One,2/1/2023,ARP7V2200017,890,"210,712,407","379,884,934","793,158,034",,,"261,474"
Counting Stars,OneRepublic,1/1/2013,USUM71301306,892,"2,466,006,842","304,524,339","1,245,061,983","1,394,055,006",,"118,910"
Essence (feat. Tems),Wizkid,10/28/2020,USRC12003059,893,"242,254,880","418,190,794","617,402,549","59,766,393","15,395,153","4,536,227"
Get Into It (Yuh),Doja Cat,6/25/2021,USRC12101535,895,"603,196,133","265,715,680","7,709,942,104","53,920,294",,"2,436,551"
RAVE,Dxrk ï¿½ï¿½ï¿½,3/18/2022,QM4TX2201027,894,"415,552,038","281,772,953","5,435,575,162","3,358,648",,"2,994,271"
No Me Conoce,Jhay Cortez,2/22/2019,USUM71900979,896,"49,585,127","2,272,109,362","20,432,637","15,194,156",,"466,976"
offline,Young Miko,4/5/2024,QZXD92300025,900,"109,149,345","21,230,788",,"575,037",,"267,702"
TOPIA TWINS,Travis Scott,7/28/2023,USSM12305013,898,"196,369,387","26,280,803","141,407,787","638,202",,"310,132"
Janze,Xamdam Sobirov,7/31/2023,RUA1D2384226,899,"344,691","334,194,426","144,597,808",,,"407,695"
"O Saki Saki (From ""Batla House"")",Neha Kakkar,7/15/2019,INS181904064,897,"144,985,656","1,662,729,195","462,897,728",,"403,099","717,736"
Always Remember Us This Way,Lady Gaga,10/5/2018,USUM71813195,901,"1,269,760,706","824,308,720","573,562,180","322,220,265","612,635","9,755,956"
Monotonï¿½,Shakira,10/19/2022,USQX92204791,903,"498,744,348","306,510,173","38,341","42,356,554",,"913,182"
Aku Sayang Tapi Kau Tak Paham,DJ Boneng,11/15/2023,GXBAV2345718,902,"716,453","12,045","100,001,777",,,
Thought You Should Know,Morgan Wallen,5/6/2022,USUG12202977,906,"340,227,841","137,384,524","28,018,314","215,914,717","4,421,163","857,184"
CAIRO,KAROL G,11/13/2022,USUM72220925,904,"443,093,379","273,852,759","600,184,949","24,842,372","1,653,982","1,174,788"
Cupido,TINI,2/14/2023,USHR12245118,905,"358,240,136","216,226,939","2,253,379,250","243,118",,"556,867"
Raja Ji Ke Dilwa,Pawan Singh,12/19/2023,INM1Q2326022,909,"4,283","224,819,919",,,,
Out thï¿½ï¿½,Yeat,9/9/2022,USUM72217063,907,"338,097,605","54,214,841","117,839,587","1,750,477","26,616,347","664,273"
Winning Speech,Karan Aujla,5/16/2024,AUBEC2438671,910,"17,917,738","28,606,016",,,"97,075","44,138"
Home,Good Neighbours,1/17/2024,GBUM72400322,911,"205,068,203","8,916,657","24,837,700","17,230,222",,"606,973"
Sobrio,Maluma,7/8/2021,USSD12100322,908,"600,199,930","743,954,914","254,681,143","41,992,168",,"1,823,474"
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin,6/2/2023,USUM72308540,913,"247,682,011","81,060,467","38,882,669","665,747",,"1,390,039"
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,5/25/2018,USRC11800930,916,"1,244,981,489","847,656,575","650,317,525","29,244,476",,"6,227,926"
Se Acabï¿½ï¿½ la Cuaren,Jowell & Randy,8/6/2020,QM6P42086452,915,"73,468,394","73,136,867","2,985,601,079","12,140,646","1,635,079","1,057,655"
Look Back At It,A Boogie Wit da Hoodie,12/7/2018,USAT21812667,912,"769,061,748","233,288,549","250,645,860","164,836,824","95,216,986","6,255,853"
End of Beginning,Djo,9/16/2022,GBKPL2205058,918,"710,784,872","44,322,144","1,027,806,256","4,025,966",,"3,343,993"
K-POP,Travis Scott,7/18/2023,USSM12305652,917,"285,481,590","40,688,228","129,035,232","4,832,444",,"808,863"
favorite,Isabel LaRosa,3/29/2024,USRC12400507,919,"123,802,404","21,277,734","20,879,200","333,441",,"1,040,640"
You & Me,JENNIE,10/6/2023,KRA402300041,914,"183,134,509","164,326,447","518,880,479","710,467",,"345,892"
Tattoo,Rauw Alejandro,2/13/2020,QZHN21900087,922,"341,742,937","1,281,379,386","650,666,266","6,119,993",,"713,534"
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,1/1/2010,USSM11001353,921,"829,352,129","4,062,829,308","5,938,511,405","129,133,941","542,470",
LA RANGER (feat. Myke Towers),The Academy: Segunda Misiï¿½,3/28/2024,USWL12400690,920,"79,786,203","32,616,728",,"545,735",,"236,268"
no tears left to cry,Ariana Grande,4/20/2018,USUM71805289,923,"1,331,371,819","1,426,855,223","219,920,452","181,267,091",,"6,415,036"
I Fck Up,Prince Ayaya,10/28/2023,QZTBB2395775,924,,"92,839","454,838,946",,,"238,732"
Upside Down,JVKE,8/18/2020,QM24S2008283,925,"121,391,098","19,099,476","1,710,758,827","2,403,391",,"1,184,072"
Crawling,Linkin Park,4/12/2024,USWB11201319,927,"570,290,910",,,,,
Nosso Quadro,AgroPlay,2/2/2023,BCA6L2300010,926,"423,018,422","361,813,279","277,692,228",,,"609,133"
APAGA EL CEL,FloyyMenor,5/17/2024,QZMWW2484259,929,"33,245,898","15,755,338",,"18,555","110,406","171,732"
Genda Phool (feat. Payal Dev),Badshah,3/26/2020,INS172000876,930,"86,295,058","1,022,945,729","1,953,198,700","519,209",,"193,040"
Pure Cocaine,Lil Baby,11/30/2018,USUG11802285,928,"652,559,944","317,320,682","62,837,382","133,082,789","97,169,903","1,456,448"
Espresso,Sabrina Carpenter,4/12/2024,USUV72401318,933,"536,986,458",,,,,
Pretty Little Poison,Warren Zeiders,3/17/2023,USWB12300190,932,"142,512,477","56,277,759","109,014,578","71,730,881","3,516,110","549,127"
Corazï¿½ï¿½n Roto - R,Brray,4/7/2023,USUM72305202,931,"203,212,015","178,302,256","359,964,365","127,732",,"836,117"
Summer,Calvin Harris,1/1/2014,GBARL1400296,935,"1,497,564,072","1,989,930,606","1,214,191,679","332,877,611",,"11,380,320"
Murder On My Mind,YNW Melly,6/1/2018,QMCE31801827,934,"1,055,558,326","952,644,680","350,694,950","112,050,497",,"2,087,864"
You Are The Reason,Calum Scott,11/17/2017,USUM71710315,937,"1,042,531,612","1,425,188,874","1,930,209,423","292,156,274",,"6,610,744"
Bad Liar,Imagine Dragons,11/6/2018,USUM71816161,938,"1,056,929,910","908,433,462","2,058,078,137","130,853,305",,"11,123,506"
Wild Ones (feat. Jelly Roll),Jessie Murph,10/6/2023,USQX92304180,936,"165,347,464","43,792,907","7,395,640","83,726,741","1,638,261","354,116"
ROXANNE,Arizona Zervas,10/10/2019,USSM11914320,939,"1,474,968,552","473,697,535","4,972,391,653",,,"4,556,715"
Softly,Karan Aujla,8/18/2023,CAW112300244,941,"150,073,848","232,389,376","169,068,391","46,920","2,691,081","270,472"
Tacones Rojos,Sebastian Yatra,10/22/2021,USUM72119612,940,"641,756,842","558,812,868","855,230,861","9,553,399","723,371","2,934,783"
Ride the Vibe,NEXZ,5/20/2024,US5TA2400118,942,"899,456","31,419,384",,"1,012",,"8,204"
family ties,Baby Keem,8/27/2021,USSM12105949,945,"786,298,066","63,403,993","532,021,210","6,412,824",,"1,938,598"
"Perdonarte, ï¿½ï¿½Para Q",Los ï¿½ï¿½ngeles Az,5/23/2024,MX1722401778,943,"19,514,243","17,545,232",,"181,212",,"48,790"
Whatever It Takes,Imagine Dragons,5/9/2017,USUM71703515,944,"1,257,258,072","1,192,880,501","340,416,328","359,252,086",,"12,160,416"
POP!,NAYEON,6/24/2022,US5TA2200041,946,"296,828,933","407,776,018","5,178,604,164","1,106,839",,"445,036"
Into the Unknown,ALPHA 9,1/13/2023,GBEWA2206731,948,"78,985","621,561,070",,"13,012","6,099",
Lonely At The Top,Asake,6/15/2023,USUYG1490059,947,"84,655,991","75,076,449","382,487,197","779,288","1,367,844","2,361,169"
ecstacy (slowed),SUICIDAL-IDOL,6/6/2023,QZK6F2330686,949,"242,661,037","51,722,759","646,143,014","496,607",,"2,552,266"
Si Se Da,Myke Towers,2/26/2019,QM4TX1920224,952,"317,223,968","1,867,482,161","14,034,398","79,260,855",,"1,796,737"
Holy (feat. Chance The Rapper),Justin Bieber,9/18/2020,USUM72017013,950,"787,546,548","396,861,382","561,056,269","85,450,020",,"3,589,419"
No Role Modelz,J. Cole,12/9/2014,USQX91402598,955,"2,235,160,830","656,310,159","885,273,359","657,042,048",,"5,513,979"
Symphony (feat. Zara Larsson),Clean Bandit,3/16/2017,GBAHS1700199,954,"1,456,894,713","1,523,128,022","386,013,926","76,856,978","18,687,841","9,434,537"
Rain On Me (with Ariana Grande),Lady Gaga,5/22/2020,USUM72004304,951,"1,060,378,159","514,581,598","538,854,965","62,220,803",,"3,888,061"
"Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",Chase & Status,7/27/2023,GBUM72306881,953,"118,804,209","16,072,797",,"154,435","6,256,341","908,754"
10:35,Tiï¿½ï¿½,11/3/2022,CYA112001130,958,"539,802,784","94,379,586","119,710,596","43,487,605",,"2,064,142"
One Right Now (with The Weeknd),Post Malone,11/5/2021,USUM72120404,963,"631,789,333","182,180,447","181,078,488","103,350,630",,"2,041,348"
A Thousand Years,Christina Perri,10/18/2011,USAT21102141,964,"1,654,956,613","2,989,286,684","8,594,414,469",,68,"15,974,659"
Secreto,Anuel AA,1/15/2019,USXDR1900020,957,"759,388,276","1,595,484,197","543,804,719","147,935,567","3,064,688","1,317,266"
Toda Remix - Remix,Alex Rose,6/1/2018,QM4TX1838235,959,"482,021,697","1,965,829,285","289,741,256","67,068,115",,"2,148,531"
I Hate U,SZA,12/3/2021,USRC12103605,956,"456,871,037","142,820,854","1,676,387,442","92,133,806","15,212,609","1,854,776"
Better Now,Post Malone,4/27/2018,USUM71805170,962,"1,953,403,531","48,443,287","97,061,584","467,402,120",,"8,827,325"
Call Me Maybe,Carly Rae Jepsen,1/1/2012,CAB391100615,960,"1,394,048,309","2,007,334,200","367,016,981","401,427,022",,"14,252,942"
Pobre Corazï¿½,Ke Personajes,3/2/2023,QZN882353309,965,"187,127,704","425,484,500","30,085,568",,,"432,240"
Piece Of Your Heart,MEDUZA,2/1/2019,DEUM71807719,966,"995,452,298","464,369,299","1,282,810,923","46,973,428","26,135,531","14,464,887"
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Varun Jain,5/22/2023,INH102307782,961,"203,379,355","361,600,873",,,,"376,272"
Mi Kryptonita,Doble ONE Flow Letal,10/11/2023,QZTB72322595,967,"140,356,426","87,822,276","1,057,039,331","131,941",,"961,258"
Ram Pam Pam,NATTI NATASHA,4/20/2021,USB272100106,968,"257,167,813","794,011,391","2,167,134,347","24,761,052",,"1,621,368"
"Milo J: Bzrp Music Sessions, Vol. 57",Bizarrap,10/3/2023,UYB282301041,970,"181,516,735","155,509,942",,"62,580",,"194,645"
Stuck In The Middle,BABYMONSTER,2/1/2024,KRA402400004,972,"21,167,612","147,951,356","70,103,300",,,"47,782"
No Se Va,Grupo Frontera,4/28/2022,QZHN72212529,973,"582,023,797","293,059,162","805,988,782","84,722,896","192,143","1,946,266"
